date,aoi,resolution_m,mndwi_mean,ndti_mean,sampleCount,noDataCount,validPercent,confidence_class,decision,reason,recommended_action,raw_json_path,api_status,api_error
2025-06-02,corridor_wide,20,-0.23,-0.12,2131424,1083762,49.15,usable,interpret,Valid percentage is at least 30 percent.,Use for exploratory hydro-sedimentary interpretation with stated limits.,outputs/raw_json/2025-06-02_corridor_wide_mndwi_ndti_20m_s2_stats.json,OK,
2025-06-10,corridor_wide,20,-0.22,-0.07,2131424,2083287,2.26,do_not_infer,do_not_infer,Valid percentage is below 10 percent.,Do not make a satellite-based inference; wait for a new acquisition or request field verification.,outputs/raw_json/2025-06-10_corridor_wide_mndwi_ndti_20m_s2_stats.json,OK,
2025-06-15,corridor_wide,20,-0.11,-0.18,2131424,1188836,44.22,usable,interpret,Valid percentage is at least 30 percent.,Use for exploratory hydro-sedimentary interpretation with stated limits.,outputs/raw_json/2025-06-15_corridor_wide_mndwi_ndti_20m_s2_stats.json,OK,
2025-06-30,corridor_wide,20,-0.30,-0.20,2131424,616753,71.06,usable,interpret,Valid percentage is at least 30 percent.,Use for exploratory hydro-sedimentary interpretation with stated limits.,outputs/raw_json/2025-06-30_corridor_wide_mndwi_ndti_20m_s2_stats.json,OK,
2025-07-15,corridor_wide,20,-0.36,-0.15,2131424,1018321,52.22,usable,interpret,Valid percentage is at least 30 percent.,Use for exploratory hydro-sedimentary interpretation with stated limits.,outputs/raw_json/2025-07-15_corridor_wide_mndwi_ndti_20m_s2_stats.json,OK,
